feature_name,feature_class,prim_lat_dec,prim_long_dec
Lone Gulch,Valley,37.7112536,-120.3944773
Stoney Creek,Stream,37.5077144,-120.3585233
Acorn Canyon,Valley,38.7680853,-119.8417344
Adams Gap,Gap,36.5410597,-119.0617733
Adkins Mountain,Summit,37.1381179,-119.8099885
Adobe Gulch,Valley,38.210492,-120.5099577
Adobe Hill,Summit,37.0336779,-119.8619795
Alder Creek,Stream,39.5968506,-120.1693697
Alder Hill,Summit,39.3525671,-120.1953144
Alder Spring,Spring,37.9580052,-120.1941282
Mount Alice,Summit,37.1235772,-118.4658549
Alpine Lake,Lake,37.9622384,-119.3043537
Lake Alpine,Reservoir,38.4762159,-119.9993463
Alta Morris Lake,Lake,38.8935993,-120.1389816
Andrews Lake,Lake,38.0389848,-119.6903171
Andrews Mountain,Summit,37.0768912,-118.0827927
Anna Lake,Lake,38.219071,-119.5066969
Antelope Creek,Stream,38.4535212,-120.5099252
Antelope Peak,Summit,38.4700415,-119.5560486
Apple Tree Spring,Spring,37.4510307,-120.034437
Ardeth Lake,Lake,38.0512353,-119.6915778
Arnett Spring,Spring,36.6182187,-119.1600545
Arrow Creek,Stream,36.8699367,-118.5162104
Ashbrook Creek,Stream,37.1671693,-119.8382114
Avalanche Pass,Gap,36.7485497,-118.5600981
Avery,Populated Place,38.204363,-120.3699194
Avocado Lake,Lake,36.7869951,-119.4121935
Avonelle Lake,Lake,38.054545,-119.6431521
Baby Lake,Lake,37.4727296,-119.0383277
Bagley Valley,Valley,38.5924544,-119.6568188
Bald Mountain,Summit,37.1038303,-119.205814
Bald Mountain,Summit,38.1446359,-120.0871179
Bald Mountain,Summit,39.2970282,-120.1827268
Bald Peak,Summit,38.3721787,-119.7775155
Bald Rock,Summit,37.373723,-119.935368
Baltic Creek,Stream,38.722682,-120.5213135
Baltic Peak,Summit,38.694076,-120.5151236
Bare Island Lake,Lake,37.4954758,-119.4905976
Bark Sharrly Canyon,Valley,38.7109353,-120.2218717
Barker Creek,Stream,39.0635174,-120.3157503
Barney Lake,Lake,38.1405993,-119.4380945
Barrel Spring,Spring,37.4759988,-120.0730668
Barrett Lake,Lake,38.90476,-120.2297936
Barth Mountain,Summit,37.9859725,-120.5622171
Barton Creek,Stream,36.6952166,-118.5570414
Barts Valley,Valley,39.0322582,-120.3731168
Bathtub Lake,Lake,37.4637627,-119.0387861
Bathtub Spring,Spring,37.46713,-120.1383386
Battalion Pass,Gap,37.506604,-119.6984921
